model,rmse,mae,r2,n
ols,0.15259636128211757,0.12401407407836393,-0.3018409747203743,184
ridge,0.15172853091655517,0.12325677866877256,-0.28707568748471024,184
knn,0.12984898868406053,0.1068724936869815,0.057358134857265264,184
basic_nn,0.1671983116552846,0.12994930550723743,-0.5629077917067691,184
fusion,0.1353294285939974,0.11112546677389477,-0.02389182880894447,184
