model,rmse,mae,r2,n
ols,0.11364712266005739,0.09204047109455829,0.3450638437977812,373
ridge,0.11345316774664298,0.09194577951679932,0.34729741886394194,373
knn,0.1121565878752932,0.08976864860390049,0.3621307682949755,373
basic_nn,0.13829399928927127,0.10568206178145029,0.03018532952870956,373
fusion,0.10916130805567532,0.0865718406123255,0.39574599236885255,373
