epoch,train_loss,val_loss,train_data,train_physics,train_mono,train_bound,val_data,val_physics,val_mono,val_bound,val_mae,val_rmse,val_real_mae,val_real_rmse,val_endpoint_mae,val_real_endpoint_mae,lr,violations,nfe,skipped_batches
0,0.14240306988358498,0.01924324594438076,0.02848058519884944,2.9236113618935633e-07,0.0,3.457542932516766e-11,0.019243203103542328,4.3750003442255547e-07,0.0,0.0,0.1869182288646698,0.21269881505683202,0.1869182288646698,0.21269881505683202,0.18691824143752456,0.18691824143752456,7.994586662280567e-05,0.0,1068.5,0.0
1,0.10738838464021683,0.019196324050426483,0.02147764409892261,3.177083556238358e-07,0.0,2.442500868227171e-09,0.01919628120958805,4.3750003442255547e-07,0.0,0.0,0.1858540177345276,0.21253969859508473,0.1858540177345276,0.21253969859508473,0.185854016803205,0.185854016803205,7.97836148670468e-05,0.0,1026.5,0.0
2,0.15171391889452934,0.019214576110243797,0.030342751182615757,3.1629904384544716e-07,0.0,2.4665189890527017e-09,0.019214533269405365,4.3750003442255547e-07,0.0,0.0,0.18613573908805847,0.2126143176060144,0.18613573908805847,0.2126143176060144,0.1861357488669455,0.1861357488669455,7.951368945350794e-05,0.0,1049.0,0.0
3,0.11831655725836754,0.019336694851517677,0.023663282627239823,2.8526788753424626e-07,0.0,1.9097633197073804e-10,0.019336652010679245,4.3750003442255547e-07,0.0,0.0,0.18771511316299438,0.21317564407323808,0.18771511316299438,0.21317564407323808,0.18771511875092983,0.18771511875092983,7.913683022898533e-05,0.0,1064.0,0.0
4,0.1370023787021637,0.0192293431609869,0.02740041073411703,6.130682521643394e-07,0.0,7.883333985603258e-09,0.019229300320148468,4.3750003442255547e-07,0.0,0.0,0.18522368371486664,0.21276440509682584,0.18522368371486664,0.21276440509682584,0.18522368697449565,0.18522368697449565,7.86540701384182e-05,0.0,1007.0,0.0
5,0.16138871759176254,0.01917937956750393,0.03227745974436402,5.882903053588961e-07,0.0,4.483572979552264e-07,0.019179336726665497,4.3750003442255547e-07,0.0,0.0,0.18521375954151154,0.21249110680090777,0.18521375954151154,0.21249110680090777,0.18521375535055995,0.18521375535055995,7.806673239365857e-05,0.0,1067.0,0.0
6,0.1330956369638443,0.019439348950982094,0.026619072072207928,5.558457409904349e-07,0.0,0.0,0.01943930611014366,4.3750003442255547e-07,0.0,0.0,0.18901681900024414,0.21368759487983446,0.18901681900024414,0.21368759487983446,0.18901682971045375,0.18901682971045375,7.737642684663947e-05,0.0,1026.5,0.0
7,0.2060312870889902,0.019138162955641747,0.04120621923357248,2.99928210267808e-07,0.0,1.7709003125032652e-08,0.019138120114803314,4.3750003442255547e-07,0.0,0.0,0.18484550714492798,0.2122848185600524,0.18484550714492798,0.2122848185600524,0.18484549969434738,0.18484549969434738,7.658504557688273e-05,0.0,1059.5,0.0
8,0.2294345423579216,0.019360845908522606,0.045886842999607325,5.763650037238222e-07,0.0,1.8365592324709468e-08,0.019360803067684174,4.3750003442255547e-07,0.0,0.0,0.18502584099769592,0.21384797380092652,0.18502584099769592,0.21384797380092652,0.1850258414633572,0.1850258414633572,7.569475770544053e-05,0.0,1125.5,0.0
9,0.13617239333689213,0.020164629444479942,0.027234441600739956,3.6805559489039297e-07,0.0,0.0,0.02016458660364151,4.3750003442255547e-07,0.0,0.0,0.19227689504623413,0.21832438343816754,0.19227689504623413,0.21832438343816754,0.1922768852673471,0.1922768852673471,7.470800344948533e-05,0.0,1104.5,0.0
10,0.15960048139095306,0.019971633329987526,0.031920062843710184,3.2518119041924365e-07,0.0,1.3863757919452269e-09,0.019971590489149094,4.3750003442255547e-07,0.0,0.0,0.19067013263702393,0.21728597919436857,0.19067013263702393,0.21728597919436857,0.1906701265834272,0.1906701265834272,7.362748743384424e-05,0.0,1065.5,0.0
11,0.1264274837449193,0.019114727154374123,0.025285422569140792,5.853466902294713e-07,0.0,3.1691048452131554e-08,0.01911468431353569,4.3750003442255547e-07,0.0,0.0,0.18352141976356506,0.21246494817551478,0.18352141976356506,0.21246494817551478,0.18352140672504902,0.18352140672504902,7.245617127781041e-05,0.0,1076.0,0.0
12,0.1513842884451151,0.019352411851286888,0.030276788398623466,5.918001519944482e-07,0.0,1.8681554081467766e-08,0.019352369010448456,4.3750003442255547e-07,0.0,0.0,0.187889963388443,0.21331680581368484,0.187889963388443,0.21331680581368484,0.18788996804505587,0.18788996804505587,7.119726547755035e-05,0.0,1083.5,0.0
13,0.16750767454504967,0.019330091774463654,0.03350150631740689,2.598214514648589e-07,0.0,2.4832416123388157e-09,0.01933004893362522,4.3750003442255547e-07,0.0,0.0,0.18770858645439148,0.21319199151044185,0.18770858645439148,0.21319199151044185,0.18770859483629465,0.18770859483629465,6.985422060635706e-05,0.0,1053.5,0.0
14,0.13339294865727425,0.019050171598792076,0.02667854167521,4.716236148283315e-07,0.0,0.0,0.019050128757953644,4.3750003442255547e-07,0.0,0.0,0.1835370659828186,0.21187405714033422,0.1835370659828186,0.21187405714033422,0.18353705666959286,0.18353705666959286,6.843071785686861e-05,0.0,1061.0,0.0
15,0.12714161816984415,0.019062114879488945,0.02542826603166759,5.344169906607021e-07,0.0,7.738311325056202e-09,0.019062072038650513,4.3750003442255547e-07,0.0,0.0,0.18309929966926575,0.2120484396306379,0.18309929966926575,0.2120484396306379,0.18309930572286248,0.18309930572286248,6.693065895117489e-05,0.0,1101.5,0.0
16,0.14569859951734543,0.019087377935647964,0.029139694292098284,2.5724640551061384e-07,0.0,0.0,0.019087335094809532,4.3750003442255547e-07,0.0,0.0,0.18400797247886658,0.21203333051781018,0.18400797247886658,0.21203333051781018,0.1840079752728343,0.1840079752728343,6.535815544646857e-05,0.0,1050.5,0.0
17,0.1588133219629526,0.019261930137872696,0.03176264278590679,2.1268475691726962e-07,0.0,0.0,0.019261887297034264,4.3750003442255547e-07,0.0,0.0,0.1870579868555069,0.2128347008422103,0.1870579868555069,0.2128347008422103,0.18705798964947462,0.18705798964947462,6.371751746555268e-05,0.0,1055.0,0.0
18,0.1272212378680706,0.019123371690511703,0.025444206316024065,3.8541669766800624e-07,0.0,6.929473439498679e-09,0.01912332884967327,4.3750003442255547e-07,0.0,0.0,0.18472999334335327,0.21217225865554762,0.18472999334335327,0.21217225865554762,0.18472998728975654,0.18472998728975654,6.201324188309357e-05,0.0,1014.5,0.0
19,0.12077156640589237,0.0191508736461401,0.024154280545189977,3.1812018619348237e-07,0.0,5.787038209748019e-11,0.019150830805301666,4.3750003442255547e-07,0.0,0.0,0.18457795679569244,0.21253987387004689,0.18457795679569244,0.21253987387004689,0.18457795539870858,0.18457795539870858,6.0249999999999994e-05,0.0,1034.0,0.0
20,0.13313636928796768,0.019344622269272804,0.026627200189977884,6.469109905538062e-07,0.0,1.9079033464208806e-08,0.019344579428434372,4.3750003442255547e-07,0.0,0.0,0.18560445308685303,0.21372523016489423,0.18560445308685303,0.21372523016489423,0.1856044470332563,0.1856044470332563,5.843262473971209e-05,0.0,1026.5,0.0
21,0.1741568148136139,0.019202323630452156,0.03483131527900696,3.448276473250189e-07,0.0,2.870621518269445e-08,0.019202280789613724,4.3750003442255547e-07,0.0,0.0,0.18505489826202393,0.212878218123056,0.18505489826202393,0.212878218123056,0.1850549099035561,0.1850549099035561,5.656609740149411e-05,0.0,1103.0,0.0
22,0.1488594338297844,0.019135644659399986,0.029771849513053894,3.208333794191276e-07,0.0,1.044504571723337e-08,0.019135601818561554,4.3750003442255547e-07,0.0,0.0,0.184549480676651,0.2124154097824305,0.184549480676651,0.2124154097824305,0.18454948533326387,0.18454948533326387,5.465553400703937e-05,0.0,1077.5,0.0
23,0.132703123614192,0.01914520002901554,0.0265405741520226,3.2232147617605733e-07,0.0,3.83504348278052e-08,0.01914515718817711,4.3750003442255547e-07,0.0,0.0,0.18469437956809998,0.21227607042869154,0.18469437956809998,0.21227607042869154,0.18469438795000315,0.18469438795000315,5.270617127781042e-05,0.0,1089.5,0.0
24,0.10554788447916508,0.01922793872654438,0.02110954059753567,2.7142860403728264e-07,0.0,1.748282990599037e-08,0.019227895885705948,4.3750003442255547e-07,0.0,0.0,0.18620793521404266,0.2126741796386455,0.18620793521404266,0.2126741796386455,0.1862079412676394,0.1862079412676394,5.072335228154957e-05,0.0,1040.0,0.0
25,0.13656086847186089,0.019277211278676987,0.02731212368234992,4.5744053167595666e-07,0.0,8.769764470173413e-09,0.019277168437838554,4.3750003442255547e-07,0.0,0.0,0.18681959807872772,0.2129262579398705,0.18681959807872772,0.2129262579398705,0.18681960087269545,0.18681960087269545,4.8712511787301487e-05,0.0,1083.5,0.0
26,0.11279812082648277,0.019165800884366035,0.02255958574824035,3.168617013216135e-07,0.0,1.3170321722100198e-08,0.019165758043527603,4.3750003442255547e-07,0.0,0.0,0.18494528532028198,0.21242205648916052,0.18494528532028198,0.21242205648916052,0.1849452923052013,0.1849452923052013,4.667916136908912e-05,0.0,1071.5,0.0
27,0.13733258098363876,0.01914137415587902,0.027466450817883015,5.132902884952273e-07,0.0,2.5969063344177812e-08,0.01914133131504059,4.3750003442255547e-07,0.0,0.0,0.18486011028289795,0.2123731834301374,0.18486011028289795,0.2123731834301374,0.18486011493951082,0.18486011493951082,4.4628874299072315e-05,0.0,1109.0,0.0
28,0.15148185566067696,0.01912252977490425,0.030296338722109795,3.1747745055099585e-07,0.0,0.0,0.01912248693406582,4.3750003442255547e-07,0.0,0.0,0.18445396423339844,0.2122142967809566,0.18445396423339844,0.2122142967809566,0.18445396842435002,0.18445396842435002,4.2567270271596276e-05,0.0,1085.0,0.0
29,0.09602627199637936,0.019015740603208542,0.01920519717532443,5.331897128257879e-07,0.0,7.785614375421801e-09,0.01901569776237011,4.3750003442255547e-07,0.0,0.0,0.18281155824661255,0.21171923000379816,0.18281155824661255,0.21171923000379816,0.18281156197190285,0.18281156197190285,4.050000000000001e-05,0.0,1122.5,0.0
