epoch,train_loss,val_loss,train_data,train_physics,train_mono,train_bound,val_data,val_physics,val_mono,val_bound,val_mae,val_rmse,val_real_mae,val_real_rmse,val_endpoint_mae,val_real_endpoint_mae,lr,violations,nfe,skipped_batches
0,0.03155606940779234,0.01182970923504659,0.009002676650491212,0.014629429925926455,2.4988436816924685e-09,3.2412070712809743e-06,0.009874123780589019,0.01954115360110466,8.723066424445473e-09,2.9310934256240477e-06,0.05188788849277371,0.16280623219506005,0.29753801226615906,0.3565129882110445,0.2001251326947579,0.2975380006246269,0.00024995802230950575,0.0009530617107457708,1194.5806451612902,0.0
1,0.035266897926527645,0.013709446781181864,0.00957621953209802,0.015745114115200142,4.900041754254622e-09,4.209964209904214e-06,0.011358407026688968,0.02349330990442208,3.073182798890374e-09,3.4147393859841813e-06,0.05778075560522392,0.1752220585776204,0.31159812211990356,0.36512495635625625,0.21433184879000852,0.3115981202572584,0.0002498321180074353,0.0008339289969025494,1201.5483870967741,0.0
2,0.020840020339575507,0.00038952486231989624,0.005920941952706104,0.009348078078588631,2.3144756337994976e-09,3.542282077510962e-07,0.00038926417515280524,2.6068968281833804e-06,0.0,0.0,0.010328287148766128,0.024006741338849422,0.2633543014526367,0.28454296580226746,0.0373272937074115,0.2633542991243303,0.0002496223733823082,0.0,1228.0645161290322,0.0
3,0.0029582461913026147,0.000394968397033933,0.0009608878547536029,1.3086948489481367e-06,0.0,6.95202346106254e-16,0.00039484085365464646,1.275368163078383e-06,0.0,0.0,0.010291326571091828,0.024177612665433477,0.26564478874206543,0.28744686817480924,0.037270521309265066,0.26564478781074286,0.0002493289321826135,0.0,1229.8064516129032,0.0
4,0.0033733771283990673,0.00039461713874646066,0.001070399609987714,1.241152785364501e-06,0.0,2.7504980098474426e-15,0.0003944861361690398,1.310123934672447e-06,0.0,0.0,0.010292846629188345,0.024167625862266225,0.26541030406951904,0.28720983706870695,0.03725989614104958,0.2654103343375027,0.0002489519955182918,0.0,1215.2903225806451,0.0
5,0.0033835650631977667,0.0003939214366255328,0.0010731954356625437,1.3121187132656491e-06,0.0,1.3102934636542214e-15,0.00039378121852808235,1.4021364255053674e-06,0.0,0.0,0.010296482680105336,0.024146970358439487,0.2650472819805145,0.28677229004607835,0.0372514205530162,0.2650472796522081,0.0002484918217229044,0.0,1223.225806451613,0.0
6,0.0029622105498527808,0.0003931537856780259,0.0009583459956751715,1.3552282578735509e-06,0.0,0.0,0.00039300237715776475,1.5141700454738124e-06,0.0,0.0,0.010300821641280256,0.024124089051401894,0.26463478803634644,0.28627086342653024,0.03724375436976965,0.2646347866393626,0.0002479487261765844,0.0,1210.4516129032259,0.0
7,0.0030926923800800596,0.0003921304326338161,0.000999397478036342,1.4730184789773522e-06,0.0,1.3140611208508954e-15,0.00039196290267032703,1.6753351376662197e-06,0.0,0.0,0.010308398413903935,0.024093836945534495,0.26402145624160767,0.2855473931930161,0.03728362399299299,0.2640214548446238,0.0002473230810898911,0.0,1202.7096774193549,0.0
8,0.003222360024078479,0.00039035545861614604,0.0010219806563034053,1.7760710105199729e-06,0.0,5.7309360388787986e-11,0.0003901551639760977,2.0029760240244547e-06,0.0,0.0,0.0103235517915656,0.02404172821910675,0.26283055543899536,0.2840991479589313,0.037371485519128604,0.26283057127147913,0.0002466153152487153,0.0,1228.8387096774193,0.0
9,0.003925243340012046,0.00038651261170993427,0.0011489929344069452,2.2460076600568313e-06,0.0,7.077172511781341e-11,0.0003862076742474788,3.0494341964575663e-06,0.0,0.0,0.010374635430061604,0.023934447185271938,0.2589549422264099,0.27935606322658324,0.03787508373416937,0.2589549417607486,0.0002458259137204108,0.0,1243.3548387096773,0.0
10,0.003189610876894045,0.0003889098256227693,0.0010357902708253073,3.460648324635845e-06,0.0,1.2316342538915487e-10,0.0003883108729496598,5.989502954305083e-06,0.0,0.0,0.010594607628497881,0.02408151799493291,0.24971696734428406,0.26803794390109686,0.04106825910791566,0.2497169766575098,0.0002449554175213535,0.0,1248.5806451612902,0.0
11,0.003851465201155553,0.00038167465079043595,0.0011608638573482994,9.47378959659956e-06,0.0,2.498254669857251e-10,0.00038101007313733656,6.645797904119328e-06,0.0,0.0,0.010501459701774046,0.023798238367979646,0.2524731755256653,0.2709884367539809,0.0386523958590306,0.25247318809852004,0.0002440044232461562,0.0,1267.741935483871,0.0
12,0.0027427569805313985,0.0004115778221083539,0.0008982295684906985,1.0447435519997651e-05,0.0,2.916672485376823e-10,0.0004086703556822613,2.9074686705955954e-05,0.0,0.0,0.011313861513540023,0.025322312078286155,0.21684257686138153,0.2325244965517791,0.04569203289125492,0.216842585708946,0.00024297358265879174,0.0,1212.3870967741937,0.0
13,0.0030389312474477675,0.0003785207435222609,0.0009628912375774235,2.0963357775188696e-05,0.0,5.2485236191805135e-11,0.0003768143235772316,1.706413783202671e-05,0.0,0.0,0.010811330731382076,0.023760958202158036,0.2383313626050949,0.2536576447814514,0.04004958603027147,0.23833136912435293,0.00024186360224590707,0.0,1158.5806451612902,0.0
14,0.003352488107573722,0.0003845028882746452,0.0010481395368133822,2.133425215150407e-05,0.0,4.973518833098333e-10,0.00038160661850789826,2.896265868912451e-05,0.0,0.0,0.011125059751226395,0.024091156594291473,0.22261099517345428,0.23717366435793819,0.04141147001174903,0.22261100402101874,0.0002406752427326325,0.0,1195.3548387096773,0.0
