epoch,train_loss,train_data,val_loss,val_rmse,val_real_rmse,val_endpoint_mae,val_real_endpoint_mae,lr,violations,nfe,skipped
1,0.004856937918597894,0.004814308817069938,0.01167905076315634,0.16103298972026986,0.16103298972026986,0.13359955931082368,0.13359955931082368,2.995530133913036e-05,0.0,62.916666666666664,0
2,0.004711811960597679,0.004664724292472518,0.011955165302424575,0.1641133608943719,0.1641133608943719,0.13420446356758475,0.13420446356758475,2.98214809386295e-05,0.0,62.916666666666664,0
3,0.00456692531789492,0.004504889983410167,0.011674939884869673,0.16145816126920537,0.16145816126920537,0.13293877430260181,0.13293877430260181,2.959936384576631e-05,0.0,63.083333333333336,0
4,0.004752602299370147,0.004691095359707415,0.01169715530971871,0.1612000281463039,0.1612000281463039,0.13420237600803375,0.13420237600803375,2.929031948627973e-05,0.0,62.666666666666664,0
5,0.004740628444590161,0.0046803126734052585,0.011652651979147777,0.16137738270929416,0.16137738270929416,0.13233237899839878,0.13233237899839878,2.8896253221413658e-05,0.0,62.916666666666664,0
6,0.004927763691254781,0.004879180396203411,0.011748600969440304,0.16258736901366083,0.16258736901366083,0.13163824519142509,0.13163824519142509,2.8419594600731333e-05,0.0,63.583333333333336,0
7,0.004961661408066852,0.004910992131211205,0.01169045250844647,0.16194503683252615,0.16194503683252615,0.13201450882479548,0.13201450882479548,2.7863282383134336e-05,0.0,62.666666666666664,0
8,0.004829735730357104,0.004778042425038443,0.011658204416562512,0.16185143490133697,0.16185143490133697,0.13120635226368904,0.13120635226368904,2.7230746418436738e-05,0.0,63.083333333333336,0
9,0.004816916406138855,0.004762285663067208,0.011642920976754567,0.16108796972788342,0.16108796972788342,0.132516463752836,0.132516463752836,2.652588650120045e-05,0.0,63.083333333333336,0
10,0.004888220708922277,0.004834139140592065,0.011746387486709864,0.1626909189835633,0.1626909189835633,0.1314451638609171,0.1314451638609171,2.5753048327204938e-05,0.0,63.583333333333336,0
11,0.0051501056418309255,0.005101237311025544,0.011626028409727596,0.16119106635453423,0.16119106635453423,0.13169496227055788,0.13169496227055788,2.491699670078767e-05,0.0,63.0,0
12,0.004853803849916479,0.004800515575731702,0.011619556262644437,0.16089136874281498,0.16089136874281498,0.1330603715032339,0.1330603715032339,2.402288615824086e-05,0.0,63.416666666666664,0
13,0.0047707538672566345,0.004715037183236761,0.011805799745616241,0.1634173311374453,0.1634173311374453,0.1312293829396367,0.1312293829396367,2.307622918838126e-05,0.0,62.833333333333336,0
14,0.004804211772545999,0.004731116010999712,0.01168690138410966,0.16180139084841788,0.16180139084841788,0.1317389914765954,0.1317389914765954,2.208286224622343e-05,0.0,63.166666666666664,0
15,0.004770638236171878,0.004715558841761534,0.011715840726708393,0.16177753700169237,0.16177753700169237,0.13309194147586823,0.13309194147586823,2.1048909769293804e-05,0.0,63.0,0
16,0.004800022748107658,0.00474750571327023,0.011660258904498733,0.16134139331338707,0.16134139331338707,0.13260292634367943,0.13260292634367943,1.9980746418436738e-05,0.0,63.25,0
17,0.004714323984871606,0.004672704008233571,0.011732795617255931,0.16198563787680598,0.16198563787680598,0.13258093316107988,0.13258093316107988,1.8884957775910632e-05,0.0,62.916666666666664,0
18,0.004581055998831592,0.004524870371128031,0.011657132500843659,0.1618789199520202,0.1618789199520202,0.13062000600621104,0.13062000600621104,1.776829974308335e-05,0.0,63.166666666666664,0
19,0.004676493272992527,0.004633791684534729,0.01166794042215713,0.16185209318388807,0.16185209318388807,0.13084838539361954,0.13084838539361954,1.6637656888053755e-05,0.0,62.666666666666664,0
20,0.0049117050638550885,0.004855186356817537,0.011648387638846458,0.16156441414434344,0.16156441414434344,0.13109299959614873,0.13109299959614873,1.55e-05,0.0,63.0,0
21,0.004712694617907687,0.004665457721229258,0.01160837584407659,0.16125741258422824,0.16125741258422824,0.130829069763422,0.130829069763422,1.436234311194625e-05,0.0,62.833333333333336,0
22,0.0048557759215302415,0.004802470846957224,0.01162048398726867,0.16138003045569604,0.16138003045569604,0.1307073999196291,0.1307073999196291,1.3231700256916657e-05,0.0,62.916666666666664,0
23,0.004813573450122356,0.004766723787867022,0.011590047295328532,0.16118139825117886,0.16118139825117886,0.13038929644972086,0.13038929644972086,1.2115042224089373e-05,0.0,63.25,0
24,0.004798050221156005,0.00475221924382178,0.01158439491596397,0.16120225598975163,0.16120225598975163,0.1300584301352501,0.1300584301352501,1.1019253581563265e-05,0.0,62.833333333333336,0
25,0.00461831415600342,0.0045706942973724705,0.011579637594699488,0.1613161154596715,0.1613161154596715,0.12962041655555367,0.12962041655555367,9.951090230706199e-06,0.0,62.833333333333336,0
26,0.004689290593557555,0.004635827320695303,0.011589225482738996,0.1614098384861803,0.1614098384861803,0.12961746100336313,0.12961746100336313,8.917137753776572e-06,0.0,62.916666666666664,0
27,0.004574647854077006,0.004513881628764377,0.011611138166472301,0.16148654637615062,0.16148654637615062,0.1300490628927946,0.1300490628927946,7.923770811618742e-06,0.0,62.833333333333336,0
28,0.004568869569977905,0.0045113821369998025,0.01154671599675794,0.16119475822849455,0.16119475822849455,0.12919414462521672,0.12919414462521672,6.977113841759141e-06,0.0,62.666666666666664,0
29,0.004770604176168863,0.004694927566194767,0.011554334052334525,0.16105432918052165,0.16105432918052165,0.12963233329355717,0.12963233329355717,6.083003299212339e-06,0.0,63.166666666666664,0
30,0.0044616336929708365,0.004410828320740418,0.011594112275190582,0.16128645282099768,0.16128645282099768,0.13012871984392405,0.13012871984392405,5.2469516727950615e-06,0.0,62.833333333333336,0
31,0.0045499024327071425,0.0044800869143399626,0.0115936041085547,0.16131084831446596,0.16131084831446596,0.13002011412754655,0.13002011412754655,4.474113498799551e-06,0.0,62.916666666666664,0
