train_loss,val_loss,train_data,train_physics,train_mono,train_bound,val_data,val_physics,val_mono,val_bound,val_mae,val_rmse,val_real_mae,val_real_rmse,val_endpoint_mae,val_real_endpoint_mae,lr,violations,nfe,skipped_batches
0.10926955938339233,0.03342273458838463,0.03144434466958046,0.049788421019911766,0.0,0.0,0.03342264145612717,9.375000900035957e-07,0.0,0.0,0.26640409231185913,0.2885220862996843,0.26640409231185913,0.2885220862996843,0.26640406576916575,0.26640406576916575,0.0002999260087268414,0.0,442.6666666666667,0.0
0.12976323813199997,0.03342192992568016,0.04088523363073667,0.02369178388948967,0.0,0.0,0.0334218367934227,9.375000900035957e-07,0.0,0.0,0.2664003372192383,0.28851818696120735,0.2664003372192383,0.28851818696120735,0.26640033535659313,0.26640033535659313,0.00029970410792781927,0.0,442.6666666666667,0.0
0.1305660605430603,0.033420998603105545,0.04119007413585981,0.023319474867624496,0.0,0.0,0.033420905470848083,9.375000900035957e-07,0.0,0.0,0.26639601588249207,0.2885136936184043,0.26639601588249207,0.2885136936184043,0.26639601588249207,0.26639601588249207,0.00029933451659223183,0.0,446.6666666666667,0.0
0.11553931484619777,0.0334198996424675,0.037696219980716705,0.008168832835754833,0.0,0.0,0.03341980651021004,9.375000900035957e-07,0.0,0.0,0.26639091968536377,0.2885083738232368,0.26639091968536377,0.2885083738232368,0.26639091363176703,0.26639091363176703,0.0002988175994621059,0.0,430.6666666666667,0.0
0.10047857215007146,0.03341856598854065,0.03134801983833313,0.021448371041742575,0.0,0.0,0.03341847285628319,9.375000900035957e-07,0.0,0.0,0.26638472080230713,0.2885019047168484,0.26638472080230713,0.2885019047168484,0.2663847138173878,0.2663847138173878,0.00029815386667224087,0.0,458.6666666666667,0.0
0.10749386996030807,0.033416833728551865,0.031208226457238197,0.04623063811368411,0.0,0.0,0.0334167405962944,9.375000900035957e-07,0.0,0.0,0.26637667417526245,0.288493524361366,0.26637667417526245,0.288493524361366,0.2663766690529883,0.2663766690529883,0.00029734397324676686,0.0,498.6666666666667,0.0
0.11689809213081996,0.0334143340587616,0.035232209910949074,0.037338202739116845,0.0,0.0,0.033414240926504135,9.375000900035957e-07,0.0,0.0,0.26636505126953125,0.2884814376264153,0.26636505126953125,0.2884814376264153,0.2663650563918054,0.2663650563918054,0.00029638871845271515,0.0,518.6666666666666,0.0
0.11180496464173,0.03341062366962433,0.035456265012423195,0.018120552434993442,0.0,0.0,0.03341053053736687,9.375000900035957e-07,0.0,0.0,0.26634782552719116,0.28846348737400657,0.26634782552719116,0.28846348737400657,0.2663478283211589,0.2663478283211589,0.0002952890450112382,0.0,520.6666666666666,0.0
0.11191983769337337,0.03340499475598335,0.03406093269586563,0.03245678798217947,0.0,0.0,0.03340490162372589,9.375000900035957e-07,0.0,0.0,0.26632165908813477,0.28843624992967637,0.26632165908813477,0.28843624992967637,0.26632167771458626,0.26632167771458626,0.0002940460381672576,0.0,524.6666666666666,0.0
0.130722905198733,0.033396508544683456,0.04265583430727323,0.00918468307402994,0.0,0.0,0.033396415412425995,9.375000900035957e-07,0.0,0.0,0.26628226041793823,0.288395188721617,0.26628226041793823,0.288395188721617,0.26628227019682527,0.26628227019682527,0.0002926609246184583,0.0,526.6666666666666,0.0
