Study,Year,DOI_or_ID,Source_URL,Source_Access,Source_File,Inclusion_Tier,Reliability_Tier,Mn_wt,C_wt,Al_wt,Si_wt,Cu_wt,Ni_wt,Cr_wt,Mo_wt,Nb_wt,V_wt,T_anneal_C,Time_sec,RA_fraction,RA_pct,Measurement_Method,Data_Quality,Initial_Condition,Source_Ref,Extraction_Note,ML_Ready,Row_Key
yan_2022,,yan_2022_EBSD,,experimental,project4_literature_validation.csv,legacy_project4,legacy_unverified,6.0,0.15,1.5,0.3,,,,0.0,0.0,,650.0,3600.0,0.105,10.5,EBSD,text_reported,cold-rolled,Search summary: low T,MDPI Metals / EBSD study,True,yan_2022|6.0|0.15|1.5|0.3|650.0|3600.0|0.105|ebsd
yan_2022,,yan_2022_EBSD,,experimental,project4_literature_validation.csv,legacy_project4,legacy_unverified,6.0,0.15,1.5,0.3,,,,0.0,0.0,,680.0,3600.0,0.34,34.0,EBSD,text_reported,cold-rolled,Search summary: near optimum,MDPI Metals / EBSD study,True,yan_2022|6.0|0.15|1.5|0.3|680.0|3600.0|0.34|ebsd
yan_2022,,yan_2022_EBSD,,experimental,project4_literature_validation.csv,legacy_project4,legacy_unverified,6.0,0.15,1.5,0.3,,,,0.0,0.0,,710.0,3600.0,0.578,57.8,EBSD,text_reported,cold-rolled,Search summary: peak,MDPI Metals / EBSD study,True,yan_2022|6.0|0.15|1.5|0.3|710.0|3600.0|0.578|ebsd
aliabad_2026,,aliabad_2026,,experimental,project4_literature_validation.csv,legacy_project4,legacy_unverified,6.0,0.4,2.0,1.0,,,,0.0,0.0,,680.0,3600.0,0.34,34.0,XRD,text_reported,not specified,Search summary: XRD measurement,Open Access,True,aliabad_2026|6.0|0.4|2.0|1.0|680.0|3600.0|0.34|xrd
aliabad_2026,,aliabad_2026,,experimental,project4_literature_validation.csv,legacy_project4,legacy_unverified,6.0,0.4,2.0,1.0,,,,0.0,0.0,,680.0,3600.0,0.38,38.0,EBSD,text_reported,not specified,Search summary: EBSD measurement,Open Access,True,aliabad_2026|6.0|0.4|2.0|1.0|680.0|3600.0|0.38|ebsd
frontiers_2020,,frontiers_2020,,experimental,project4_literature_validation.csv,legacy_project4,legacy_unverified,8.0,0.2,3.0,0.0,,,,0.0,0.0,,680.0,3600.0,0.647,64.7,XRD,text_reported,not specified,Search summary: XRD,Frontiers in Materials,True,frontiers_2020|8.0|0.2|3.0|0.0|680.0|3600.0|0.647|xrd
frontiers_2020,,frontiers_2020,,experimental,project4_literature_validation.csv,legacy_project4,legacy_unverified,8.0,0.2,3.0,0.0,,,,0.0,0.0,,680.0,3600.0,0.472,47.2,EBSD,text_reported,not specified,Search summary: EBSD,Frontiers in Materials,True,frontiers_2020|8.0|0.2|3.0|0.0|680.0|3600.0|0.472|ebsd
