epoch,train_loss,val_loss,val_rmse,val_real_rmse,val_endpoint_mae,val_real_endpoint_mae,lr,nfe,skipped,time_s
1,0.0070552513992794275,0.013761092581262346,0.1754058820184591,0.1754058820184591,0.15379466954618692,0.15379466954618692,7.994586662280567e-05,60.25,0,31.227413415908813
2,0.005901677651702168,0.013642600444654818,0.17569264303768975,0.17569264303768975,0.14895067736506462,0.14895067736506462,7.97836148670468e-05,60.416666666666664,0,29.216319799423218
3,0.005819974154682939,0.013907889539190421,0.1778499568690414,0.1778499568690414,0.1479004481807351,0.1479004481807351,7.951368945350794e-05,60.0,0,29.289618253707886
4,0.00588601358854943,0.013325588230145513,0.1719452548187294,0.1719452548187294,0.15188817214220762,0.15188817214220762,7.913683022898533e-05,59.666666666666664,0,28.87529730796814
5,0.005838147843952868,0.013231869250375894,0.17246618449325504,0.17246618449325504,0.14721009507775307,0.14721009507775307,7.86540701384182e-05,60.416666666666664,0,29.314545154571533
6,0.005955739155196859,0.013283672007673886,0.17326609853934297,0.17326609853934297,0.14548735646530986,0.14548735646530986,7.806673239365857e-05,60.416666666666664,0,29.473127603530884
7,0.005894152961523168,0.013889459489746514,0.17767221335129638,0.17767221335129638,0.14948730962350965,0.14948730962350965,7.737642684663947e-05,60.416666666666664,0,29.279436111450195
8,0.005873769558309366,0.013350146651191608,0.173833372775686,0.173833372775686,0.14504736755043268,0.14504736755043268,7.658504557688273e-05,61.083333333333336,0,29.69181180000305
9,0.0060317644040534584,0.013479338626837034,0.174845261822259,0.174845261822259,0.14478188892826438,0.14478188892826438,7.569475770544053e-05,61.333333333333336,0,29.954471588134766
10,0.00583715705762068,0.01449299810337834,0.18181701339741538,0.18181701339741538,0.15541601553559303,0.15541601553559303,7.470800344948533e-05,61.166666666666664,0,29.65970802307129
11,0.00584425352632915,0.013049710886264165,0.17057716852726842,0.17057716852726842,0.14602580154314637,0.14602580154314637,7.362748743384424e-05,61.0,0,29.62133812904358
12,0.005858165625181044,0.012965980653461884,0.1700146672130455,0.1700146672130455,0.1454559601843357,0.1454559601843357,7.245617127781041e-05,61.25,0,29.75571870803833
13,0.005447019670076732,0.013500453679853308,0.17488932234592908,0.17488932234592908,0.1465420755557716,0.1465420755557716,7.119726547755035e-05,61.5,0,29.704909563064575
14,0.00557101528585867,0.01320446805220854,0.17255998277054957,0.17255998277054957,0.1453673057258129,0.1453673057258129,6.985422060635706e-05,61.75,0,29.65394926071167
15,0.0057692755163019326,0.012827174288986498,0.16901908112321598,0.16901908112321598,0.1442373925819993,0.1442373925819993,6.843071785686861e-05,61.666666666666664,0,30.07030200958252
16,0.005678369646604311,0.012738984683437593,0.1678731523683373,0.1678731523683373,0.1459179320372641,0.1459179320372641,6.693065895117489e-05,61.166666666666664,0,29.665268421173096
17,0.005601900043225151,0.012741031872792519,0.16886409858734683,0.16886409858734683,0.14346234500408173,0.14346234500408173,6.535815544646857e-05,61.5,0,30.041866064071655
18,0.005251454518304715,0.012853795952366909,0.16922112651063467,0.16922112651063467,0.14432693179696798,0.14432693179696798,6.371751746555268e-05,60.833333333333336,0,29.574519634246826
19,0.0053607769850469505,0.01359279552315229,0.1758609910891067,0.1758609910891067,0.14598925644531846,0.14598925644531846,6.201324188309357e-05,61.833333333333336,0,30.433783292770386
20,0.005998970404684358,0.01267760004657248,0.1679119616992701,0.1679119616992701,0.1428674254566431,0.1428674254566431,6.0249999999999994e-05,61.75,0,29.791359186172485
21,0.005406346958423569,0.012595923413755372,0.16804528203899047,0.16804528203899047,0.14148267824202776,0.14148267824202776,5.843262473971209e-05,62.25,0,30.49080514907837
22,0.005444399870462746,0.012487757516282727,0.16699765022209337,0.16699765022209337,0.14126034174114466,0.14126034174114466,5.656609740149411e-05,62.0,0,29.91472578048706
23,0.005397895008338575,0.012599641258930205,0.16822722116850028,0.16822722116850028,0.14077842514961958,0.14077842514961958,5.465553400703937e-05,62.666666666666664,0,30.619842767715454
24,0.005580330989529456,0.012606549275005818,0.16836911345219754,0.16836911345219754,0.14051013300195336,0.14051013300195336,5.270617127781042e-05,62.333333333333336,0,30.183350324630737
25,0.005104604514375271,0.012462518705433467,0.1668872367842865,0.1668872367842865,0.1408496042713523,0.1408496042713523,5.072335228154957e-05,62.583333333333336,0,30.22727346420288
26,0.005213935607655016,0.012357031707637134,0.16585124218546338,0.16585124218546338,0.13966777827590704,0.13966777827590704,4.8712511787301487e-05,62.416666666666664,0,30.356919288635254
27,0.005007298628391431,0.012381883503621793,0.16661203495500307,0.16661203495500307,0.13873936235904694,0.13873936235904694,4.667916136908912e-05,62.666666666666664,0,31.265310525894165
28,0.005153083494287595,0.012624386077732197,0.1689333894108163,0.1689333894108163,0.13866426656022668,0.13866426656022668,4.4628874299072315e-05,62.666666666666664,0,30.780674934387207
29,0.00539558139498,0.012249907485966105,0.16534671208377769,0.16534671208377769,0.13817953504621983,0.13817953504621983,4.2567270271596276e-05,62.833333333333336,0,30.95765256881714
30,0.0050472957950786525,0.012202479511074671,0.1650788111909572,0.1650788111909572,0.13751508574932814,0.13751508574932814,4.050000000000001e-05,62.75,0,31.232399225234985
31,0.00498922793044206,0.012277769925276516,0.1659889218068234,0.1659889218068234,0.1376073327846825,0.1376073327846825,3.843272972840373e-05,62.666666666666664,0,30.688023805618286
32,0.004751825325404487,0.012036531793633287,0.16360236606779358,0.16360236606779358,0.13650574581697583,0.13650574581697583,3.6371125700927695e-05,62.75,0,31.05648922920227
33,0.005177653349652663,0.012023804168848073,0.1631822210294825,0.1631822210294825,0.13839871436357498,0.13839871436357498,3.432083863091088e-05,62.833333333333336,0,30.923909902572632
34,0.004917117407607129,0.011962154224420374,0.16262732545937983,0.16262732545937983,0.13847366627305746,0.13847366627305746,3.2287488212698504e-05,62.75,0,30.924234628677368
35,0.0050445715272218195,0.011993336203119043,0.1631326556419693,0.1631326556419693,0.13691304763779044,0.13691304763779044,3.0276647718450438e-05,62.916666666666664,0,31.058055639266968
36,0.004984185079810762,0.012066941725606739,0.16419247802982695,0.16419247802982695,0.13680973649024963,0.13680973649024963,2.829382872218958e-05,62.75,0,31.12870979309082
37,0.004895351403577466,0.012032419772367575,0.16394474505358636,0.16394474505358636,0.13639169139787555,0.13639169139787555,2.634446599296064e-05,62.75,0,30.99280333518982
38,0.0048489137127529286,0.012010969576294883,0.16373814960320907,0.16373814960320907,0.1364398617297411,0.1364398617297411,2.44339025985059e-05,62.833333333333336,0,30.98328971862793
39,0.004927968337080794,0.012106009487069969,0.16479731741931236,0.16479731741931236,0.1359094469808042,0.1359094469808042,2.2567375260287904e-05,63.083333333333336,0,31.447957277297974
40,0.004931226999826461,0.011989721932877728,0.16358926098075077,0.16358926098075077,0.13640879560261965,0.13640879560261965,2.075000000000001e-05,62.833333333333336,0,30.944621562957764
41,0.0049832113240423975,0.012104652850080555,0.16493940852693958,0.16493940852693958,0.13503753254190087,0.13503753254190087,1.8986758116906445e-05,62.916666666666664,0,31.1627836227417
42,0.004809545094065331,0.011964797268774419,0.16345331626593126,0.16345331626593126,0.1361064249649644,0.1361064249649644,1.7282482534447317e-05,62.75,0,31.384395360946655
43,0.004769794425053912,0.011907912084097916,0.1628161629416521,0.1628161629416521,0.13566918205469847,0.13566918205469847,1.5641844553531427e-05,63.0,0,31.351539611816406
44,0.004873467099595056,0.01189146059914492,0.1630032987642187,0.1630032987642187,0.13510360941290855,0.13510360941290855,1.4069341048825113e-05,63.25,0,31.25184392929077
45,0.004781824396639915,0.011845145649203914,0.16265088594600594,0.16265088594600594,0.13448965921998024,0.13448965921998024,1.2569282143131376e-05,63.166666666666664,0,31.289727210998535
46,0.004879466056198428,0.011817453167168424,0.16227831766024545,0.16227831766024545,0.13481773855164647,0.13481773855164647,1.1145779393642936e-05,63.25,0,30.731292486190796
47,0.005022700459033697,0.011826131683392305,0.16217381465834046,0.16217381465834046,0.13499100599437952,0.13499100599437952,9.80273452244965e-06,62.916666666666664,0,30.73457956314087
48,0.004970579720465353,0.01177178206444296,0.1618931733245646,0.1618931733245646,0.13443632097914815,0.13443632097914815,8.54382872218958e-06,62.75,0,31.107195615768433
49,0.004620769978149358,0.011795329847302582,0.16201272161806082,0.16201272161806082,0.13450432242825627,0.13450432242825627,7.372512566155754e-06,62.833333333333336,0,31.106841564178467
50,0.004871667837238173,0.011743119115635636,0.16199380397593327,0.16199380397593327,0.1332790986634791,0.1332790986634791,6.291996550514671e-06,62.75,0,31.128666639328003
51,0.004843987799252621,0.011725536493031541,0.16174727025589103,0.16174727025589103,0.1334754079580307,0.1334754079580307,5.305242294559473e-06,63.0,0,30.62030577659607
52,0.004781183025103688,0.011733192742667597,0.1618981903237028,0.1618981903237028,0.13329143356531858,0.13329143356531858,4.414954423117262e-06,63.25,0,31.595141172409058
53,0.00473547003282388,0.011717106351625262,0.16173570713727217,0.16173570713727217,0.13329429738223553,0.13329429738223553,3.6235731533605318e-06,63.083333333333336,0,31.130621910095215
54,0.004580168515587562,0.01169760173843315,0.16155921403290704,0.16155921403290704,0.13314603501930833,0.13314603501930833,2.9332676063414364e-06,62.833333333333336,0,31.287172555923462
55,0.004785609261696145,0.011696802981532528,0.16158530931353393,0.16158530931353393,0.13299823040142655,0.13299823040142655,2.3459298615818024e-06,62.916666666666664,0,30.87120509147644
56,0.004672467604872092,0.01165940638804841,0.1612012084431807,0.1612012084431807,0.13293059030547738,0.13293059030547738,1.8631697710146758e-06,62.583333333333336,0,30.741300344467163
57,0.00476230794295418,0.011681700660574279,0.16140261605564293,0.16140261605564293,0.13299931632354856,0.13299931632354856,1.4863105464920626e-06,63.166666666666664,0,31.094754695892334
58,0.004831344504605934,0.011680356357373967,0.16141185088707483,0.16141185088707483,0.1329675088636577,0.1329675088636577,1.2163851329532007e-06,63.0,0,31.012402534484863
59,0.004659055509997579,0.01167671096459344,0.16137095330593007,0.16137095330593007,0.132940580137074,0.132940580137074,1.0541333771943335e-06,62.916666666666664,0,31.216373682022095
60,0.0049129232580611415,0.011678155661229539,0.16139721712550606,0.16139721712550606,0.13294070214033127,0.13294070214033127,1e-06,62.916666666666664,0,31.145481824874878
